Name,Attention,Address 1,Address 2,City,State,Zip Code,Phone,Credential,Licensee Type,First Issued Date,Expiration Date,License Status,Status Reason,Supervisor License,Supervisor Name,Supervision Type,Supervisor License Status,Supervisor Expiration,
TRI STATE FIRE EXTINGUISHER CO INC,,122 S 7TH ST,,STEUBENVILLE,OH,43952-4801,(740) 283-3665,53.41.1001,Fire Protection Organization - Company,06/14/1991,07/01/2027,Active,ACTIVE,,,,,,
FIRE PROTECTION SERVICE LTD,,2904 STATE ROUTE 150,,DILLONVALE,OH,43917-7831,(740) 769-2266,53.41.1019,Fire Protection Organization - Company,05/07/1999,07/01/2027,Active,ACTIVE,,,,,,
CAMPION PIPEFITTING LLC,,4205 ST RT 213,,STEUBENVILLE,OH,43952,(740)283-3319,53.41.1020,Fire Protection Organization - Company,08/12/2004,07/01/2027,Active,ACTIVE,,,,,,
CATTRELL COMPANIES INC,,PO BOX 367,906 FRANKLIN ST,TORONTO,OH,43964-0367,(740)537-2481,53.41.1021,Fire Protection Organization - Company,02/18/2005,07/01/2027,Active,ACTIVE,,,,,,
TS ELECTRIC,,210 S PARK ST,,RICHMOND,OH,43944-6949,(740)765-4321,53.41.1023,Fire Protection Organization - Company,04/22/2005,07/01/2027,Active,ACTIVE,,,,,,
BUCKEYE SECURITY &  INVESTICATIONS LLC,,PO BOX 2454,,STEUBENVILLE,OH,43953-0454,(740) 264-5904,53.41.1024,Fire Protection Organization - Company,06/19/2017,07/01/2027,Active,ACTIVE,,,,,,
FORT STEUBEN MAINTENANCE INC,,PO BOX 310,,STEUBENVILLE,OH,43952-5310,(740) 283-4890,53.41.1025,Fire Protection Organization - Company,03/28/2024,07/01/2027,Active,ACTIVE,,,,,,
CANYON CONSTRUCTION CO,,PO BOX 335,,FREDERICKTOWN,OH,43019-0335,(740)694-9195,53.42.1009,Fire Protection Organization - Company,05/17/1999,07/01/2027,Active,ACTIVE,,,,,,
BUCKINGHAM ELECTRIC LLC,,70 PITTSBURGH AVE,,MOUNT VERNON,OH,43050-3902,(740)504-2959,53.42.1015,Fire Protection Organization - Company,03/26/2009,07/01/2027,Active,ACTIVE,,,,,,
BOWER FIRE EXTINGUISHER SALES & SERVICE,,13892 GILCHRIST RD,,MOUNT VERNON,OH,43050-9214,,53.42.1023,Fire Protection Organization - Company,10/04/2016,07/01/2027,Active,ACTIVE,,,,,,
MILLER ELECTRICAL SOLUTIONS,,15049 CASSELL RD,,FREDERICKTOWN,OH,43019-9053,(740) 507-2004,53.42.1025,Fire Protection Organization - Company,03/08/2017,07/01/2027,Active,ACTIVE,,,,,,
FREEDOM FIRE PROTECTION LLC,,1545 APPLE VALLEY DR,,HOWARD,OH,43028-9008,(740) 501-1310,53.42.1026,Fire Protection Organization - Company,10/03/2019,07/01/2027,Active,ACTIVE,,,,,,
T & T EXCAVATING LTD,,3849 COLUMBUS RD,,CENTERBURG,OH,43011-9015,(740) 625-7918,53.42.1027,Fire Protection Organization - Company,05/18/2021,07/01/2027,Active,ACTIVE,,,,,,
STELLAR 1 COMMUNICATIONS INC,,16 W MAIN ST,,CENTERBURG,OH,43011-7048,(866) 328-1900,53.42.1028,Fire Protection Organization - Company,03/11/2024,07/01/2027,Active,ACTIVE,,,,,,
CUSTOM WIRED LLC DBA CUSTOM WIRED SOLUTIONS,,6430 BREECE RD,,MOUNT VERNON,OH,43050-9113,(740) 397-6123,53.42.1029,Fire Protection Organization - Company,10/07/2024,07/01/2027,Active,ACTIVE,,,,,,
KN EXCAVATION LLC,,PO BOX 183,,MARTINSBURG,OH,43037-0183,(740) 668-3870,53.42.1030,Fire Protection Organization - Company,10/08/2024,07/01/2027,Active,ACTIVE,,,,,,
COFFING ELECTRIC LLC,,601 PITTSBURGH AVE STE D,,MOUNT VERNON,OH,43050-4254,(740) 485-0682,53.42.1032,Fire Protection Organization - Company,09/08/2025,07/01/2027,Active,ACTIVE,,,,,,
LAKE COUNTY SEWER CO INC,,32900 LAKELAND BLVD,,WILLOWICK,OH,44095-5234,(440) 585-5757,53.43.0005,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
FORMICA PLUMBING & SEWER CO,,1445 E 289TH ST,,WICKLIFFE,OH,44092-2305,(440)943-0033,53.43.0007,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
JOHN F GALLAGHER PLUMBING CO,,36360 LAKELAND BLVD,,EASTLAKE,OH,44095-5314,(440)946-4256,53.43.1017,Fire Protection Organization - Company,05/20/1991,07/01/2027,Active,ACTIVE,,,,,,
AJ GOULDER ELECTRIC CO,,4307 HAMANN PARKWAY,,WILLOUGHBY,OH,44094,(440) 942-4026,53.43.1019,Fire Protection Organization - Company,05/20/1991,07/01/2027,Active,ACTIVE,,,,,,
JTO INC,,6011 HEISLEY RD,,MENTOR,OH,44060,(440)352-1900,53.43.1023,Fire Protection Organization - Company,06/14/1991,07/01/2027,Active,ACTIVE,,,,,,
CHAMPION FIRE EQUIPMENT INC,,5316 LORAIN AVE,PO BOX 602060,CLEVELAND,OH,44102,(216)281-5700,53.43.1026,Fire Protection Organization - Company,05/20/1991,07/01/2027,Active,ACTIVE,,,,,,
RESIDENTIAL SECURITY SYSTEMS INC,,7552 SAINT CLAIR AVE STE E,,MENTOR,OH,44060-5201,(216)946-2715,53.43.1032,Fire Protection Organization - Company,07/05/1991,07/01/2027,Active,ACTIVE,,,,,,
POWER ALARM INC,,25086 LAKELAND BLVD,,EUCLID,OH,44132-2628,(216)289-5600,53.43.1034,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
LUBRIZOL CORP,,29400 LAKELAND BLVD,"MICHAEL SATER, MAIL DROP 011A",WICKLIFFE,OH,44092-2201,(440)391-7223,53.43.1046,Fire Protection Organization - Company,06/14/1991,07/01/2027,Active,ACTIVE,,,,,,
COMPLETE CONSTRUCTION SITE MNGMT CO,,8263 DINES ROAD,,NOVELTY,OH,44072,(216)469-2408,53.43.1065,Fire Protection Organization - Company,04/28/1992,07/01/2027,Active,ACTIVE,,,,,,
KENCO ELECTRIC INC,,8541 EAST AVE,,MENTOR,OH,44060,(440)255-9188,53.43.1071,Fire Protection Organization - Company,07/14/1993,07/01/2027,Active,ACTIVE,,,,,,
CAMINO CONSTRUCTION INC,,1548 E 367TH ST,,EASTLAKE,OH,44095,(440)942-1626,53.43.1076,Fire Protection Organization - Company,03/14/1994,07/01/2027,Active,ACTIVE,,,,,,
TERRACE CONSTRUCTION CO INC,,3965 PEARL RD,,CLEVELAND,OH,44109-3103,(216)946-1314,53.43.1077,Fire Protection Organization - Company,04/13/1995,07/01/2027,Active,ACTIVE,,,,,,
VIP ELECTRIC CO,,8358 MENTOR AVE,,MENTOR,OH,44060,(440)255-0180,53.43.1086,Fire Protection Organization - Company,12/05/1997,07/01/2027,Active,ACTIVE,,,,,,
BROTHERS CONSTRUCTION INC,,PO BOX 484,,GRAND RIVER,OH,44045,(440)669-1907,53.43.1091,Fire Protection Organization - Company,12/31/1998,07/01/2027,Active,ACTIVE,,,,,,
NORTHEASTERN REFRIGERATION CORP,,38274 WESTERN PKWY,,WILLOUGHBY,OH,44094-7590,(440)942-7676,53.43.1093,Fire Protection Organization - Company,01/27/1999,07/01/2027,Active,ACTIVE,,,,,,
FARINACCI CONTRACTORS INC,,34980 LAKELAND BLVD,,EASTLAKE,OH,44095,(440)946-1117,53.43.1094,Fire Protection Organization - Company,04/02/1999,07/01/2027,Active,ACTIVE,,,,,,
AMERICAN FIRE & SPRINKLER LLC,,1285 E 49TH ST,,CLEVELAND,OH,44114-3809,(440)463-5012,53.43.1101,Fire Protection Organization - Company,12/29/2005,07/01/2027,Active,ACTIVE,,,,,,
MAROUS BROTHERS CONSTRUCTION,,36933 VINE ST,,WILLOUGHBY,OH,44094-6340,(440)951-3904,53.43.1102,Fire Protection Organization - Company,01/17/2006,07/01/2027,Active,ACTIVE,,,,,,
DAVIS DIGGERS INC,,7985 KING MEMORIAL RD,,MENTOR,OH,44060-7328,(440)205-5500,53.43.1103,Fire Protection Organization - Company,01/24/2006,07/01/2027,Active,ACTIVE,,,,,,
LIFE SAFETY ENTERPRISES INC,,4699 HAMANN PKWY,,WILLOUGHBY,OH,44094-5631,(440)918-1641,53.43.1105,Fire Protection Organization - Company,05/23/2007,07/01/2027,Active,ACTIVE,,,,,,
HANNAH ELECTRIC LLC,,4680 LANE RD,PO BOX 24,PERRY,OH,44081-9654,(440)259-2464,53.43.1108,Fire Protection Organization - Company,01/23/2008,07/01/2027,Active,ACTIVE,,,,,,
HORNER NETWORKS LLC,,9112 TYLER BLVD,,MENTOR,OH,44060,(440)368-5649,53.43.1109,Fire Protection Organization - Company,02/15/2008,07/01/2027,Active,ACTIVE,,,,,,
ABV CONTRACTORS INC,,36315 READING AVE,,WILLOUGHBY,OH,44094-8206,(440)951-9420,53.43.1113,Fire Protection Organization - Company,05/25/2010,07/01/2027,Active,ACTIVE,,,,,,
J R SBROCCO PLUMBING INC,,38310 WILLOUGHBY PKWY,,WILLOUGHBY,OH,44094-7584,(440)278-4151,53.43.1115,Fire Protection Organization - Company,12/28/2010,07/01/2027,Active,ACTIVE,,,,,,
GREAT LAKES CRUSHING LTD,,30831 EUCLID AVE,,WICKLIFFE,OH,44092-1042,(440)944-5500,53.43.1116,Fire Protection Organization - Company,04/22/2011,07/01/2027,Active,ACTIVE,,,,,,
PRECISION ALARMTECH INC,,25730 LAKELAND BLVD,,EUCLID,OH,44132-2635,(440) 278-4375,53.43.1118,Fire Protection Organization - Company,05/02/2011,07/01/2027,Active,ACTIVE,,,,,,
V.L. CHAPMAN ELECTRIC INC,,624 RIVER STREET,,GRAND RIVER,OH,44045,,53.43.1120,Fire Protection Organization - Company,06/17/2011,07/01/2027,Active,ACTIVE,,,,,,
HECKMAN EXCAVATING INC,,8958 TYLER BLVD,,MENTOR,OH,44060-2185,(440)226-0180,53.43.1123,Fire Protection Organization - Company,04/23/2013,07/01/2027,Active,ACTIVE,,,,,,
DIFONZO MASONRY & CEMENT INC,,36036 LAKELAND BLVD,,EASTLAKE,OH,44095,(440)942-7441,53.43.1181,Fire Protection Organization - Company,04/12/2007,07/01/2027,Active,ACTIVE,,,,,,
PLATFORM CONTRACTING,,7503 TYLER BLVD,,MENTOR,OH,44060-5403,(440) 602-9750,53.43.1184,Fire Protection Organization - Company,03/02/2015,07/01/2027,Active,ACTIVE,,,,,,
TRI - D PLUMBING LLC,,6345 CARNEGIE ST,,MENTOR,OH,44060-4532,(440) 269-8461,53.43.1185,Fire Protection Organization - Company,03/27/2017,07/01/2027,Active,ACTIVE,,,,,,
HALLMARK EXCAVATING INC,,482 BLACKBROOK RD,,PAINESVILLE,OH,44077-1219,(440) 352-3138,53.43.1187,Fire Protection Organization - Company,02/06/2018,07/01/2027,Active,ACTIVE,,,,,,
ELECTRONIC FORTRESS INC,,1110 DARTMOUTH DR,,PAINESVILLE,OH,44077-5287,(440) 392-6002,53.43.1189,Fire Protection Organization - Company,10/10/2018,07/01/2027,Active,ACTIVE,,,,,,
EDENS EXCAVATING INC,,PO BOX 7103,,EASTLAKE,OH,44097-0103,(440) 525-5495,53.43.1190,Fire Protection Organization - Company,04/19/2019,07/01/2027,Active,ACTIVE,,,,,,
ADELIOS CONTRACTING,,24971 ROCKWELL DR,,EUCLID,OH,44117-1237,(440) 943-2233,53.43.1191,Fire Protection Organization - Company,10/25/2019,07/01/2027,Active,ACTIVE,,,,,,
LEGACY FIRE AND SECURITY,,30432 EUCLID AVE STE 105,,WICKLIFFE,OH,44092-1560,(440) 571-1609,53.43.1195,Fire Protection Organization - Company,03/17/2021,07/01/2027,Active,ACTIVE,,,,,,
A FRIEND INDEED LLC DBA MAC FIRE PROTECTION,,PO BOX 824,,WICKLIFFE,OH,44092-0824,(440) 753-6333,53.43.1197,Fire Protection Organization - Company,01/14/2022,07/01/2027,Active,ACTIVE,,,,,,
OHIO STATE FIRE PROTECTION CORPORATION,,7988 LINDEN ST,,MENTOR ON THE LAKE,OH,44060-2552,(216) 235-3681,53.43.1198,Fire Protection Organization - Company,03/06/2023,07/01/2027,Active,ACTIVE,,,,,,
BUCKEYE REPAIR AND MAINTENANCE LLC,,9401 MENTOR AVE UNIT 261,,MENTOR,OH,44060-4519,(440) 679-8962,53.43.1201,Fire Protection Organization - Company,02/25/2025,07/01/2027,Active,ACTIVE,,,,,,
MT4 LLC,,3625 LOST NATION RD,,WILLOUGHBY,OH,44094-7756,(440) 269-8898,53.43.1203,Fire Protection Organization - Company,04/10/2025,07/01/2027,Active,ACTIVE,,,,,,
NEXTGEN ELECTRIC INC,,11 KEEWAYDIN DR,,TIMBERLAKE,OH,44095-1919,(440) 336-0816,53.43.1204,Fire Protection Organization - Company,05/29/2025,07/01/2027,Active,ACTIVE,,,,,,
BPC REALTY HOLDINGS LLC,,9049 TYLER BLVD,,MENTOR,OH,44060-1868,(440) 205-3383,53.43.1205,Fire Protection Organization - Company,01/12/2026,07/01/2027,Active,ACTIVE,,,,,,
VISUAL ARMOR DBA VISUAL ARMOR SECURITY,,13575 LEROY CENTER RD,,PAINESVILLE,OH,44077-9780,(440) 336-1719,53.43.1206,Fire Protection Organization - Company,06/10/2026,07/01/2027,Active,ACTIVE,,,,,,
GLS ELECTRIC INC,,704 4TH ST W,,SOUTH POINT,OH,45680-9356,(740)377-9696,53.44.1007,Fire Protection Organization - Company,03/18/2009,07/01/2027,Active,ACTIVE,,,,,,
TRI STATE FIRE SPRINKLER LLC,,161 COUNTY ROAD 104,,CHESAPEAKE,OH,45619-8562,(740) 744-6191,53.44.1010,Fire Protection Organization - Company,10/11/2023,07/01/2027,Active,ACTIVE,,,,,,
KE GUTRIDGE LLC,,88 S 2ND ST,,NEWARK,OH,43055-5417,(740)349-9411,53.45.1011,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
GB FIRE SYSTEMS INC,,14076 DUTCH CROSS RD,,CENTERBURG,OH,43011-9341,(740)893-2075,53.45.1027,Fire Protection Organization - Company,06/14/1991,07/01/2027,Active,ACTIVE,,,,,,
LAYTON EXCAVATING INC,,169 DAYTON RD NE,,NEWARK,OH,43055-8879,(740)349-7101,53.45.1051,Fire Protection Organization - Company,04/02/1999,07/01/2027,Active,ACTIVE,,,,,,
SECURITY CONTRACTORS,,6550 OUTVILLE RD SW,,PATASKALA,OH,43062-9525,(740)927-0657,53.45.1052,Fire Protection Organization - Company,08/31/2000,07/01/2027,Active,ACTIVE,,,,,,
STEVE SALYER ELECTRIC,,7472 ROCKY RIDGE RD NE,,NEWARK,OH,43055-9696,(740)745-3359,53.45.1053,Fire Protection Organization - Company,09/05/2000,07/01/2027,Active,ACTIVE,,,,,,
HOUSTON PLUMBING & HEATING INC,,724 MONTGOMERY RD NE,,NEWARK,OH,43055,(740)763-3961,53.45.1058,Fire Protection Organization - Company,05/21/2001,07/01/2027,Active,ACTIVE,,,,,,
A R C ELECTRICAL CONTRACTORS,,1059 SAILING CT,,WESTERVILLE,OH,43082,(740)344-2839,53.45.1063,Fire Protection Organization - Company,01/22/2003,07/01/2027,Active,ACTIVE,,,,,,
MID OHIO SECURITY AND ELECTRIC,,1050 HARRIS AVE,,NEWARK,OH,43055-2429,(740) 345-3340,53.45.1066,Fire Protection Organization - Company,01/12/2004,07/01/2027,Active,ACTIVE,,,,,,
WEEKLEY ELECTRIC LLC,,1960 MOUNT VERNON RD,,NEWARK,OH,43055-3412,(740)366-0095,53.45.1069,Fire Protection Organization - Company,04/17/2006,07/01/2027,Active,ACTIVE,,,,,,
NUWAY INCORPORATED,,996 THORNWOOD DR,,HEATH,OH,43056-9333,(740)587-2452,53.45.1076,Fire Protection Organization - Company,06/18/2010,07/01/2027,Active,ACTIVE,,,,,,
LAYTON TRUCKING INC,DBA LAYTON SERVICES,1384 E MAIN ST,,NEWARK,OH,43055-1199,(740)366-1447,53.45.1078,Fire Protection Organization - Company,09/14/2011,07/01/2027,Active,ACTIVE,,,,,,
ADVANCED BUSINESS COMMUNICATIONS,,77 DAYTON RD NE,,NEWARK,OH,43055-8814,(740)328-4037,53.45.1080,Fire Protection Organization - Company,02/27/2012,07/01/2027,Active,ACTIVE,,,,,,
HOCKING TECHNICAL COLLEGE,,3301 HOCKING PKWY,,NELSONVILLE,OH,45764-9582,(740) 438-4702,53.45.1165,Fire Protection Organization - Company,05/11/2001,07/01/2027,Active,ACTIVE,,,,,,
TECHNICOM  EFS LLC,,480 E WILSON BRIDGE RD STE E,,WORTHINGTON,OH,43085-2372,(614) 546-9697,53.45.1168,Fire Protection Organization - Company,05/06/2015,07/01/2027,Active,ACTIVE,,,,,,
WATSON GENERAL CONTRACTING,,PO BOX 425,,NEWARK,OH,43058-0425,740-366-9066,53.45.1169,Fire Protection Organization - Company,04/27/2016,07/01/2027,Active,ACTIVE,,,,,,
MARK CANTRELL PLUMBING,,142 E PRATT ST,,JOHNSTOWN,OH,43031-1241,(740) 967-2000,53.45.1170,Fire Protection Organization - Company,04/29/2016,07/01/2027,Active,ACTIVE,,,,,,
TAYLOR GRADE LLC,,5677 CRISTLAND HILL RD,,THORNVILLE,OH,43076-9356,(740) 404-1266,53.45.1173,Fire Protection Organization - Company,08/27/2019,07/01/2027,Active,ACTIVE,,,,,,
TLV SERVICES INC,,4240 MORSE RD,,ALEXANDRIA,OH,43001-8737,(740) 587-0044,53.45.1174,Fire Protection Organization - Company,12/02/2019,07/01/2027,Active,ACTIVE,,,,,,
DMO PROTECTIVE SERVICES LLC,,PO BOX 4325,,NEWARK,OH,43058-4325,(740) 344-6256,53.45.1178,Fire Protection Organization - Company,08/26/2021,07/01/2027,Active,ACTIVE,,,,,,
SECURITY ONE SYSTEMS INC,,PO BOX 74,,PATASKALA,OH,43062-0074,(614) 868-0918,53.45.1179,Fire Protection Organization - Company,04/13/2022,07/01/2027,Active,ACTIVE,,,,,,
COLE CONSTRUCTION HOME REMODELING INC,,PO BOX 97,,ETNA,OH,43018-0097,(740) 739-0146,53.45.1180,Fire Protection Organization - Company,07/11/2022,07/01/2027,Active,ACTIVE,,,,,,
J COM DATA INC,,6706 WATKINS RD SW,,PATASKALA,OH,43062-9538,(614) 304-1455,53.45.1181,Fire Protection Organization - Company,07/20/2022,07/01/2027,Active,ACTIVE,,,,,,
DESIGN BUILD ELECTRIC LTD,,10014 HONDA HILLS RD,,THORNVILLE,OH,43076-9019,(614) 578-2874,53.45.1182,Fire Protection Organization - Company,01/31/2023,07/01/2027,Active,ACTIVE,,,,,,
MIDWEST SITE DEVELOPMENT LLC,,6498 TAYLOR RD SW,,REYNOLDSBURG,OH,43068-9633,(220) 228-4937,53.45.1183,Fire Protection Organization - Company,08/14/2023,07/01/2027,Active,ACTIVE,,,,,,
BEREAN ELECTRIC LLC,,11845 MOUNT HOPE,,GLENFORD,OH,43739,(833) 548-3877,53.45.1184,Fire Protection Organization - Company,11/30/2023,07/01/2027,Active,ACTIVE,,,,,,
TD4 ELECTRICAL LLC,,3413 LICKING VALLEY RD,,NEWARK,OH,43055-9108,(740) 755-5536,53.45.1185,Fire Protection Organization - Company,01/09/2024,07/01/2027,Active,ACTIVE,,,,,,
HEARTLAND FIRE & SAFETY LLC,,PO BOX 840,,JOHNSTOWN,OH,43031-0840,(740) 789-6578,53.45.1186,Fire Protection Organization - Company,02/23/2024,07/01/2027,Active,ACTIVE,,,,,,
FALCON FIRE PROTECTION,,159 DELAWARE ST,,CROTON,OH,43013-9701,(614) 374-2001,53.45.1188,Fire Protection Organization - Company,06/20/2024,07/01/2027,Active,ACTIVE,,,,,,
LAW GENERAL CONTRACTING INC,,9128 MOUNT VERNON RD,,SAINT LOUISVILLE,OH,43071-9637,(740) 745-3420,53.45.1189,Fire Protection Organization - Company,06/10/2025,07/01/2027,Active,ACTIVE,,,,,,
HL SECURITY,,1052 S COUNTY LINE RD,,JOHNSTOWN,OH,43031-9214,(614) 218-5853,53.45.1190,Fire Protection Organization - Company,07/11/2025,07/01/2027,Active,ACTIVE,,,,,,
ROBERTSON CONSTRUCTION SERVICES LLC,,1801 THORNWOOD DR,,HEATH,OH,43056-9311,(740) 929-1000,53.45.1191,Fire Protection Organization - Company,10/07/2025,07/01/2027,Active,ACTIVE,,,,,,
ALLIANCE ELECTRIC CO LLC,,3333 BLACKS RD SW,,HEBRON,OH,43025-9775,(614) 500-0595,53.45.1192,Fire Protection Organization - Company,12/17/2025,07/01/2027,Active,ACTIVE,,,,,,
FIRE SAFETY SERVICES INC,,6228 ROAD 95,,HUNTSVILLE,OH,43324,(937) 686-2000,53.46.1000,Fire Protection Organization - Company,06/10/1991,07/01/2027,Active,ACTIVE,,,,,,
THE STRAYER CO,,PO BOX 446,131 W CHILLICOTHE AVE,BELLEFONTAINE,OH,43311,(935)592-5826,53.46.1005,Fire Protection Organization - Company,08/21/1991,07/01/2027,Active,ACTIVE,,,,,,
OHIO HI POINT JVS,,2280 STATE ROUTE 540,,BELLEFONTAINE,OH,43311-9508,(937) 408-4935,53.46.1007,Fire Protection Organization - Company,06/03/1991,07/01/2027,Active,ACTIVE,,,,,,
H B I ELECTRIC,,10164 COUNTY ROAD 10,,EAST LIBERTY,OH,43319-9455,(937)666-5088,53.46.1009,Fire Protection Organization - Company,07/21/1995,07/01/2027,Active,ACTIVE,,,,,,
REICHERT EXCAVATING INC,,11418 STATE ROUTE 274,,LEWISTOWN,OH,43333-9706,(937)843-6527,53.46.1014,Fire Protection Organization - Company,04/07/2005,07/01/2027,Active,ACTIVE,,,,,,
LINK CONSTRUCTION GROUP INC,,895 COUNTY ROAD 32 N,,BELLEFONTAINE,OH,43311-9210,(937)292-7774,53.46.1015,Fire Protection Organization - Company,05/22/2012,07/01/2027,Active,ACTIVE,,,,,,
LA ROBSON & SONS LLC,,2705 SANDUSKY ST,,ZANESFIELD,OH,43360-1100,(937) 844-2086,53.46.1017,Fire Protection Organization - Company,04/09/2018,07/01/2027,Active,ACTIVE,,,,,,
LEVANS EXCAVATING INC,,4198 US HIGHWAY 68 S,,WEST LIBERTY,OH,43357-9431,(937) 599-2535,53.46.1018,Fire Protection Organization - Company,10/04/2022,07/01/2027,Active,ACTIVE,,,,,,
ROMCO FIRE & SAFETY,,800 W 6TH ST,PO BOX 342,LORAIN,OH,44052-1716,(440) 282-9226,53.47.1001,Fire Protection Organization - Company,07/05/1991,07/01/2027,Active,ACTIVE,,,,,,
GROSS PLUMBING INC,,6843 LAKE AVE,,ELYRIA,OH,44035-2149,(440)324-7677,53.47.1006,Fire Protection Organization - Company,06/26/1991,07/01/2027,Active,ACTIVE,,,,,,
NOVAK ELECTRIC CO,,574 TERNES LN,,ELYRIA,OH,44035-6252,(440)366-3413,53.47.1009,Fire Protection Organization - Company,06/27/1991,07/01/2027,Active,ACTIVE,,,,,,
REBMAN SYSTEMS INC,,1909 N RIDGE RD E,,LORAIN,OH,44055-3379,(440)282-2008,53.47.1014,Fire Protection Organization - Company,07/16/1991,07/01/2027,Active,ACTIVE,,,,,,
BAY MECHANICAL & ELECTRICAL CORP,,2221 W PARK DR,,LORAIN,OH,44053-1158,(440)282-6816,53.47.1022,Fire Protection Organization - Company,05/20/1991,07/01/2027,Active,ACTIVE,,,,,,
SOUTH SHORE ELECTRIC INC,,589 TERNES LN,PO BOX 321,ELYRIA,OH,44035-6251,(440)366-6289,53.47.1025,Fire Protection Organization - Company,07/16/1991,07/01/2027,Active,ACTIVE,,,,,,
LUCAS PLUMBING & HEATING INC,,2125 W PARK DR,,LORAIN,OH,44053,(440)282-4567,53.47.1048,Fire Protection Organization - Company,07/16/1993,07/01/2027,Active,ACTIVE,,,,,,
CALLIHAN ELECTRIC INC,,10359 VERMILION RD,,OBERLIN,OH,44074-9216,(440)965-4228,53.47.1049,Fire Protection Organization - Company,07/21/1993,07/01/2027,Active,ACTIVE,,,,,,
JIMS ELECTRIC,,39221 CENTER RIDGE RD,,NORTH RIDGEVILLE,OH,44039-2747,(440) 327-8800,53.47.1053,Fire Protection Organization - Company,09/07/1993,07/01/2027,Active,ACTIVE,,,,,,
RAY ESSER SONS INC,,830 WALNUT ST STE 1,,ELYRIA,OH,44035,(440)324-2018,53.47.1063,Fire Protection Organization - Company,01/31/1995,07/01/2027,Active,ACTIVE,,,,,,
DICK ESSER PLUMBING & HEATING INC,,830 WALNUT ST,,ELYRIA,OH,44035-3353,,53.47.1064,Fire Protection Organization - Company,01/31/1995,07/01/2027,Active,ACTIVE,,,,,,
PRECISION EXHAUST HOOD CO,,33780 MILLS RD,,AVON,OH,44011,(216)252-0014,53.47.1077,Fire Protection Organization - Company,10/22/1998,07/01/2027,Active,ACTIVE,,,,,,
KELLY BROTHERS CONSTRUCTION INC,,PO BOX 311,,ELYRIA,OH,44036-0311,,53.47.1078,Fire Protection Organization - Company,02/25/1999,07/01/2027,Active,ACTIVE,,,,,,
"SUBURBAN PROCESS PIPING, INC",,490 NICHOLSON AVE,,VERMILION,OH,44089,(440)967-0469,53.47.1082,Fire Protection Organization - Company,09/11/2000,07/01/2027,Active,ACTIVE,,,,,,
AKA ELECTRIC INC,,33900 LEAR INDUSTRIAL PKWY,,AVON,OH,44011-1377,(330) 648-9922,53.47.1097,Fire Protection Organization - Company,04/17/2006,07/01/2027,Active,ACTIVE,,,,,,
NORTHCOAST INTEGRATED TECHNOLOGIES,,26260 CENTER RIDGE RD,,WESTLAKE,OH,44145-4016,(440)930-5117,53.47.1098,Fire Protection Organization - Company,09/21/2006,07/01/2027,Active,ACTIVE,,,,,,
ARMOR PLUMBING & FIRE PROTECTION,,35250 DUNHAM RD,,LITCHFIELD,OH,44253-9433,(440)355-4480,53.47.1101,Fire Protection Organization - Company,12/07/2006,07/01/2027,Active,ACTIVE,,,,,,
HERCULES FIRE PROTECTION & PLUMBING,,11060 DURKEE RD,,GRAFTON,OH,44044-9100,(440)748-3778,53.47.1102,Fire Protection Organization - Company,01/02/2007,07/01/2027,Active,ACTIVE,,,,,,
KMU TRUCKING & EXCAVATING INC,,4436 CENTER RD,,AVON,OH,44011-2369,(440)934-1008,53.47.1103,Fire Protection Organization - Company,01/30/2007,07/01/2027,Active,ACTIVE,,,,,,
BUTCHKO ELECTRIC INC,,7333 S DEWEY RD,,AMHERST,OH,44001,(440)985-3180,53.47.1108,Fire Protection Organization - Company,08/24/2007,07/01/2027,Active,ACTIVE,,,,,,
LIFE SAFETY TECHNOLOGIES SPEC SYS,,760 SUNNY SIDE RD,,VERMILION,OH,44089,(440)963-4010,53.47.1109,Fire Protection Organization - Company,11/30/2007,07/01/2027,Active,ACTIVE,,,,,,
"SITETECH, INC",,35700 ROYALTON RD,,GRAFTON,OH,44044-9586,(440)748-7483,53.47.1110,Fire Protection Organization - Company,01/04/2008,07/01/2027,Active,ACTIVE,,,,,,
KENDERA ENTERPRISES INC,,1067 JAYCOX RD,,AVON,OH,44011,(440)937-5200,53.47.1111,Fire Protection Organization - Company,02/22/2008,07/01/2027,Active,ACTIVE,,,,,,
KODIAK CONSTRUCTION INC,,4431 STONEY RIDGE RD,,AVON,OH,44011-2229,(440)934-1586,53.47.1117,Fire Protection Organization - Company,09/29/2009,07/01/2027,Active,ACTIVE,,,,,,
DIGGERS OF OHIO LLC,,507 W MAIN ST,,AMHERST,OH,44001-9709,(440)986-8028,53.47.1119,Fire Protection Organization - Company,11/20/2009,07/01/2027,Active,ACTIVE,,,,,,
WINK ELECTRIC,,5640 BROAD BLVD,,NORTH RIDGEVILLE,OH,44039,(440)346-4125,53.47.1120,Fire Protection Organization - Company,01/13/2010,07/01/2027,Active,ACTIVE,,,,,,
